Grado en  Administración y Dirección Empresas y Derecho (Melilla),Prácticas Externas (Derecho),Prácticas Externas,Ciencias Sociales y Jurídicas,Prácticas Externas Derecho,es,Nada
Grado en  Administración y Dirección Empresas y Derecho (Melilla),Trabajo Fin de Grado,Trabajo Fin de Grado,Ciencias Sociales y Jurídicas,Trabajo Fin de Grado,es,Nada
Grado en  Administración y Dirección Empresas y Derecho (Melilla),Derecho Autonómico de la Ciudad de Melilla,Derecho Autonómico de Andalucía o de la Ciudad de Melilla,Ciencias Sociales y Jurídicas,Optativas Derecho,es,Nada
Grado en  Administración y Dirección Empresas y Derecho (Melilla),Prácticas Externas (Administración de Empresas),Prácticas Externas,Ciencias Sociales y Jurídicas,Optativas ADE,es,Nada
Grado en Administración y Dirección de Empresas,Matemáticas,Matemáticas,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Fundamentos de Dirección y Administración de Empresas,Empresa,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Introducción al Márketing,Empresa,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Introducción a las Operaciones Financieras,Empresa,Ciencias Sociales y Jurídicas,Formación Básica,en,"Nada
"
Grado en Administración y Dirección de Empresas,Introducción a las Operaciones Financieras,Empresa,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Economía Política,Economía,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Introducción al Derecho,Derecho,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Microeconomía,Economía,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Historia del Desarrollo Económico Mundial Contemporáneo,Historia,Ciencias Sociales y Jurídicas,Formación Básica,en,Nada
Grado en Administración y Dirección de Empresas,Historia del Desarrollo Económico Mundial Contemporáneo,Historia,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
Grado en Administración y Dirección de Empresas,Contabilidad General,Empresa,Ciencias Sociales y Jurídicas,Formación Básica,es,Nada
