GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Trabajo Social","Trabajo Social con Personas en Situación de Dependencia","Políticas Sociales e Intervención Social con Personas en Situación de Dependencia","Ciencias Sociales y Jurídicas","Trabajo Social con Personas en Situación de Dependencia",es,
"Grado en Trabajo Social","Políticas Migratorias en España y la Unión Europea","Migraciones, Etnicidad e Intervención Social","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,
"Grado en Trabajo Social","Análisis de Datos Sociológicos","Investigación Social Aplicada al Trabajo Social y Práctica Reflexiva","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,"<p>Se utilizará el programa <strong>R (extensiones R-Commander y/o R-Studio)</strong>, el software libre líder para el análisis de datos en el ámbito de la academia y la empresa.</p>&#13;"
"Grado en Trabajo Social","Cooperación, Desarrollo y Trabajo Social","Desarrollo e Intervención Social","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,
"Grado en Trabajo Social","Derechos de los Extranjeros y su Protección Social","Migraciones, Etnicidad e Intervención Social","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,
"Grado en Trabajo Social","Trabajo Social con Personas Inmigrantes","Migraciones, Etnicidad e Intervención Social","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,
"Grado en Trabajo Social","Sistematización de la Práctica","Investigación Social Aplicada al Trabajo Social y Práctica Reflexiva","Ciencias Sociales y Jurídicas","Ciencias Sociales Aplicadas",es,
"Grado en Traducción e Interpretación","Lengua a Nivel 1 Español","Lengua (A Español)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua a Nivel 2 Español","Lengua (A Español)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 1 Alemán","Idioma Moderno 1 (Lengua B Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 1 Árabe","Idioma Moderno 1 (Lengua B Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 1 Francés","Idioma Moderno 1 (Lengua B Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 1 Inglés","Idioma Moderno 1 (Lengua B Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Alemán","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Árabe","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Chino","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Francés","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Griego","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Inglés","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Italiano","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Portugués","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 1 Ruso","Idioma Moderno 2 (Lengua C Nivel 1)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 2 Alemán","Lengua B Nivel 2 (Primera Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 2 Árabe","Lengua B Nivel 2 (Primera Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 2 Francés","Lengua B Nivel 2 (Primera Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 2 Inglés","Lengua B Nivel 2 (Primera Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Alemán","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Árabe","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Chino","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Francés","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
