GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Prácticas Externas (Derecho)","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas Derecho",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Derecho Autonómico de la Ciudad de Melilla","Derecho Autonómico de Andalucía o de la Ciudad de Melilla","Ciencias Sociales y Jurídicas","Optativas Derecho",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Prácticas Externas (Administración de Empresas)","Prácticas Externas","Ciencias Sociales y Jurídicas","Optativas ADE",es,
"Grado en Administración y Dirección de Empresas",Matemáticas,Matemáticas,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Fundamentos de Dirección y Administración de Empresas",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción al Márketing",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción a las Operaciones Financieras",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",en,"<p>No</p>&#13;"
"Grado en Administración y Dirección de Empresas","Introducción a las Operaciones Financieras",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Economía Política",Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción al Derecho",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas",Microeconomía,Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Historia del Desarrollo Económico Mundial Contemporáneo",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",en,
"Grado en Administración y Dirección de Empresas","Historia del Desarrollo Económico Mundial Contemporáneo",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Contabilidad General",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Matemáticas Empresariales","Matemáticas Empresariales","Ciencias Sociales y Jurídicas","Ampliación de Matemáticas",es,
"Grado en Administración y Dirección de Empresas",Macroeconomía,Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Técnicas Cuantitativas I",Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Dirección y Administración de Empresas","Dirección y Administración de Empresas","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Contabilidad Financiera I","Contabilidad Financiera I","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Dirección Comercial","Dirección Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",en,
"Grado en Administración y Dirección de Empresas","Dirección Comercial","Dirección Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",es,"<ul>&#13;	<li>R-Studio: https://posit.co/download/rstudio-desktop/</li>&#13; <li>Jamovi: https://www.jamovi.org</li>&#13;	<li>JASP: https://jasp-stats.org</li>&#13;</ul>&#13;"
"Grado en Administración y Dirección de Empresas","Análisis de Operaciones Financieras","Análisis de las Operaciones Financieras","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Contabilidad Financiera II","Contabilidad Financiera II","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Técnicas Cuantitativas II",Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Organización de Empresas","Organización de Empresas","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Economía Mundial","Economía Mundial","Ciencias Sociales y Jurídicas","Análisis del Entorno Económico",es,
"Grado en Administración y Dirección de Empresas","Contabilidad de Gestión","Contabilidad de Gestión","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Derecho Fiscal","Derecho Fiscal","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas",Econometría,Econometría,"Ciencias Sociales y Jurídicas","Métodos Cuantitativos",es,
"Grado en Administración y Dirección de Empresas","Dirección de Operaciones I","Dirección de Operaciones I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Dirección Estratégica de la Empresa I","Dirección Estratégica de la Empresa I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Análisis de Estados Financieros","Análisis de Estados Financieros","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Economía Española","Economía Española","Ciencias Sociales y Jurídicas","Análisis del Entorno Económico",es,
"Grado en Administración y Dirección de Empresas","Dirección de Recursos Humanos I","Dirección de Recursos Humanos I","Ciencias Sociales y Jurídicas","Organización de Empresas",en,
"Grado en Administración y Dirección de Empresas","Dirección de Recursos Humanos I","Dirección de Recursos Humanos I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Dirección Estratégica de la Empresa II","Dirección Estratégica de la Empresa II","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Métodos Cuantitativos","Métodos Cuantitativos","Ciencias Sociales y Jurídicas","Métodos Cuantitativos",es,"<p>Visual PROMETHEE</p>&#13;"
"Grado en Administración y Dirección de Empresas","Dirección Financiera","Dirección Financiera","Ciencias Sociales y Jurídicas","Dirección y Planificación Financiera",es,
"Grado en Administración y Dirección de Empresas","Creación de Empresas","Creación de Empresas","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas","Comercio Exterior","Comercio Exterior","Ciencias Sociales y Jurídicas","Comercio Exterior e Investigación de Mercados",en,
"Grado en Administración y Dirección de Empresas","Comercio Exterior","Comercio Exterior","Ciencias Sociales y Jurídicas","Comercio Exterior e Investigación de Mercados",es,
"Grado en Administración y Dirección de Empresas","Investigación de Mercados","Investigación de Mercados","Ciencias Sociales y Jurídicas","Comercio Exterior e Investigación de Mercados",es,
"Grado en Administración y Dirección de Empresas","Análisis y Control de Costes","Análisis y Control de Costes","Ciencias Sociales y Jurídicas","Costes y Auditoría",es,
"Grado en Administración y Dirección de Empresas","Auditoría de Estados Financieros","Auditoría de Estados Financieros","Ciencias Sociales y Jurídicas","Costes y Auditoría",es,
"Grado en Administración y Dirección de Empresas","Gestión Medioambiental de la Empresa","Gestión Medioambiental de la Empresa","Ciencias Sociales y Jurídicas","Innovación y Medioambiente",es,
"Grado en Administración y Dirección de Empresas","Dirección de la Innovación y la Tecnología","Dirección de la Innovación y la Tecnología","Ciencias Sociales y Jurídicas","Innovación y Medioambiente",en,
"Grado en Administración y Dirección de Empresas","Dirección de la Innovación y la Tecnología","Dirección de la Innovación y la Tecnología","Ciencias Sociales y Jurídicas","Innovación y Medioambiente",es,
"Grado en Administración y Dirección de Empresas","Gestión de Empresas en el Marco Internacional","Gestión de Empresas en el Marco Internacional","Ciencias Sociales y Jurídicas","Gestión Internacional y de los Recursos Humanos",en,
"Grado en Administración y Dirección de Empresas","Gestión de Empresas en el Marco Internacional","Gestión de Empresas en el Marco Internacional","Ciencias Sociales y Jurídicas","Gestión Internacional y de los Recursos Humanos",es,"<p>INCLUSIÓN y DIVERSIDAD. En el caso de estudiantes con discapacidad u otras necesidades específicas de apoyo educativo (NEAE), el sistema de tutoría será adaptado a estas necesidades, de acuerdo con las recomendaciones del área con competencias en inclusión de la Universidad de Granada, procediendo los departamentos y centros a establecer las medidas adecuadas para que las tutorías se realicen en lugares accesibles. Asimismo, a petición del profesorado, se podrá solicitar apoyo a la unidad competente de la UGR cuando se trate de adaptaciones metodológicas especiales.</p>&#13;"
"Grado en Administración y Dirección de Empresas","Dirección de Recursos Humanos II","Dirección de Recursos Humanos II","Ciencias Sociales y Jurídicas","Gestión Internacional y de los Recursos Humanos",es,
"Grado en Administración y Dirección de Empresas","Gestión de la Calidad Empresarial","Gestión de la Calidad Empresarial","Ciencias Sociales y Jurídicas","Gestión de la Calidad y de las Operaciones en la Empresa",es,
"Grado en Administración y Dirección de Empresas","Dirección de Operaciones II","Dirección de Operaciones II","Ciencias Sociales y Jurídicas","Gestión de la Calidad y de las Operaciones en la Empresa",es,
"Grado en Administración y Dirección de Empresas","Organización Industrial: Evidencias Históricas","Organización Industrial: Evidencias Históricas","Ciencias Sociales y Jurídicas","Organización Industrial: Evidencias  Históricas",es,
"Grado en Administración y Dirección de Empresas","Régimen Laboral de la Empresa","Régimen Laboral de la Empresa","Ciencias Sociales y Jurídicas","Régimen Laboral de la Empresa",es,
"Grado en Administración y Dirección de Empresas","Planificación y Valoración de Empresas","Planificación y Valoración de Empresas","Ciencias Sociales y Jurídicas","Dirección y Planificación Financiera",es,
"Grado en Administración y Dirección de Empresas","Distribución Comercial","Distribución Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",es,
"Grado en Administración y Dirección de Empresas","Comunicación Comercial","Comunicación Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",en,
"Grado en Administración y Dirección de Empresas","Comunicación Comercial","Comunicación Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",es,
"Grado en Administración y Dirección de Empresas","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas (Ceuta)","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas (Ceuta)","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas (Melilla)","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas (Melilla)","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas y Derecho","Trabajo Fin de Grado (De ADE o de Derecho)","Trabajo Fin de Grado de ADE o Derecho","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Antropología Social y Cultural","Antropología Social y Cultural",Antropología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural",Sociología,Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Historia Contemporánea",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Introducción a la Psicología",Psicología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Habilidades e Instrumentos para las Ciencias Sociales",Antropología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Antropología y Evolución",Antropología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Economía Política",Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Geografía, Demografía y Población",Geografía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Historia del Pensamiento Moderno y Contemporáneo",Filosofía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Teoría e Historia Antropológica",Antropología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Antropología Social y Cultural","Cognición, Simbolismo y Cultura","Cognición, Simbolismo y Cultura","Ciencias Sociales y Jurídicas","Política, Religión, Simbolismo, Comunicación y Cognición",es,
"Grado en Antropología Social y Cultural","Antropología Económica","Antropología Económica","Ciencias Sociales y Jurídicas","Producción, Distribución, Intervención Social y Ecología",es,
"Grado en Antropología Social y Cultural","Métodos y Técnicas de Investigación en Antropología","Métodos y Técnicas de Investigación en Antropología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación en Antropología Social y Cultural",es,
"Grado en Antropología Social y Cultural","Creencias, Rituales y Religiones","Creencias, Rituales y Religiones","Ciencias Sociales y Jurídicas","Política, Religión, Simbolismo, Comunicación y Cognición",es,
"Grado en Antropología Social y Cultural","Patrimonio y Gestión Cultural","Patrimonio y Gestión Cultural","Ciencias Sociales y Jurídicas","Producción, Distribución, Intervención Social y Ecología",es,
"Grado en Antropología Social y Cultural","Antropología del Parentesco","Antropología del Parentesco","Ciencias Sociales y Jurídicas","Organización y Diferenciación Social",es,
"Grado en Antropología Social y Cultural","Antropología del Género","Antropología del Género","Ciencias Sociales y Jurídicas","Organización y Diferenciación Social",es,
"Grado en Antropología Social y Cultural","Antropología de la Diferenciación y Estratificación Social","Antropología de la Diferenciación y la Estratificación Social","Ciencias Sociales y Jurídicas","Organización y Diferenciación Social",es,
"Grado en Antropología Social y Cultural","Etnografía y Análisis Cualitativo de Datos","Etnografía y Análisis Cualitativo de Datos","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación en Antropología Social y Cultural",es,"<p><a href="https://cran.r-project.org/">R</a></p>&#13;&#13;<p><a href="https://posit.co/download/rstudio-desktop/">RStudio</a></p>&#13;"
"Grado en Antropología Social y Cultural","Antropología Ecológica","Antropología Ecológica","Ciencias Sociales y Jurídicas","Producción, Distribución, Intervención Social y Ecología",es,
"Grado en Antropología Social y Cultural","Análisis Cuantitativo de Datos","Análisis Cuantitativo de Datos","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación en Antropología Social y Cultural",es,
"Grado en Antropología Social y Cultural","Antropología de Europa","Antropología de Europa","Ciencias Sociales y Jurídicas","Etnología Cultural: Culturas en Contexto",es,
"Grado en Antropología Social y Cultural","Migraciones, Interculturalidad y Gestión de la Diferencia","Migraciones, Interculturalidad y Gestión de la Diferencia","Ciencias Sociales y Jurídicas","Formación Avanzada y Aplicada en Antropología",es,
"Grado en Antropología Social y Cultural","Antropología de la Salud","Antropología de la Salud","Ciencias Sociales y Jurídicas","Formación Avanzada y Aplicada en Antropología",es,
"Grado en Antropología Social y Cultural","Antropología Política","Antropología Política","Ciencias Sociales y Jurídicas","Política, Religión, Simbolismo, Comunicación y Cognición",es,
"Grado en Antropología Social y Cultural","Antropología de Latinoamérica","Antropología de Latinoamérica","Ciencias Sociales y Jurídicas","Etnología Cultural: Culturas en Contexto",es,
"Grado en Antropología Social y Cultural","Taller de Escritura en Antropología","Taller de Escritura en Antropología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación en Antropología Social y Cultural",es,
"Grado en Antropología Social y Cultural","Prácticas de Trabajo de Campo Antropológico","Prácticas de Trabajo de Campo Antropológico","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación en Antropología Social y Cultural",es,
"Grado en Antropología Social y Cultural","Trabajo Fin de Grado","Trabajo de Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo de Fin de Grado",es,
"Grado en Antropología Social y Cultural","Formación para la Práctica Profesional de la Antropología","Formación para la Práctica Profesional de la Antropología","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Arqueología y Cultura","Arqueología y Cultura","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Historia del Arte y Patrimonio Histórico","Historia del Arte y Patrimonio Histórico","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Antropología del Desarrollo","Antropología del Desarrollo","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Migraciones y Educación","Migraciones y Educación","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Pluralismo Religioso y Globalización","Pluralismo Religioso y Globalización","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Procesos Políticos: Nacionalismo, Estado y Ciudadanía","Procesos Políticos: Nacionalismo, Estado, Ciudadanía","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Antropología de la Sexualidad","Antropología de la Sexualidad","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Antropología Física y Forense","Antropología Física y Forense","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Historia de la Enfermedad y la Medicina","Historia de la Enfermedad y la Medicina","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,"<p>Plataforma Swad</p>&#13;"
"Grado en Antropología Social y Cultural","Antropología de las Políticas Públicas e Igualdad de Género","Antropología de las Políticas Públicas e Igualdad de Género","Ciencias Sociales y Jurídicas","Aplicación y Práctica Profesional de la Antropología",es,
"Grado en Antropología Social y Cultural","Etnología Regional I","Etnología Regional I","Ciencias Sociales y Jurídicas","Etnología Cultural: Culturas en Contexto",es,
"Grado en Antropología Social y Cultural","Etnología Regional II","Etnología Regional II","Ciencias Sociales y Jurídicas","Etnología Cultural: Culturas en Contexto",es,
"Grado en Antropología Social y Cultural","Antropología de la Educación","Antropología de la Educación","Ciencias Sociales y Jurídicas","Formación Avanzada y Aplicada en Antropología",es,
"Grado en Antropología Social y Cultural","Antropología Visual","Antropología Visual","Ciencias Sociales y Jurídicas","Formación Avanzada y Aplicada en Antropología",es,
"Grado en Antropología Social y Cultural","Antropología Urbana","Antropología Urbana","Ciencias Sociales y Jurídicas","Formación Avanzada y Aplicada en Antropología",es,
"Grado en Arqueología",Prehistoria,Historia,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Historia Antigua",Historia,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Historia Medieval",Historia,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología",Geografía,Geografía,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Antropología Cultural",Antropología,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Historia Moderna",Historia,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Historia Contemporánea",Historia,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Historia del Arte",Arte,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Filosofía de la Ciencia",Filosofía,"Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Idioma Moderno: Inglés","Idioma Moderno","Artes y Humanidades","Materias Básicas",es,
"Grado en Arqueología","Prehistoria de Europa","Arqueología Prehistórica","Artes y Humanidades","Arqueología General I",es,
"Grado en Arqueología","Protohistoria de Europa","Arqueología Prehistórica","Artes y Humanidades","Arqueología General I",es,
"Grado en Arqueología","La Prospección Arqueológica","Arqueología de la Intervención","Artes y Humanidades","Metodología Arqueológica I",es,
"Grado en Arqueología","La  Excavación Arqueológica","Arqueología de la Intervención","Artes y Humanidades","Metodología Arqueológica I",es,
"Grado en Arqueología","El Registro Arqueológico","Arqueología de la Intervención","Artes y Humanidades","Metodología Arqueológica I",es,
"Grado en Arqueología","Arqueología del Próximo Oriente","Arqueología Histórica","Artes y Humanidades","Arqueología General II",es,
"Grado en Arqueología","Arqueología de Grecia y Roma","Arqueología Histórica","Artes y Humanidades","Arqueología General II",es,
"Grado en Arqueología","Arqueología Medieval y Posmedieval","Arqueología Histórica","Artes y Humanidades","Arqueología General II",es,
"Grado en Arqueología","Teoría e Historia de la Arqueología","Análisis de la Cultura Material","Artes y Humanidades","Metodología Arqueológica II",es,
"Grado en Arqueología","Análisis de la Cultura Material","Análisis de la Cultura Material","Artes y Humanidades","Metodología Arqueológica II",es,
"Grado en Arqueología","Protección y Gestión del Patrimonio Arqueológico","Protección y Conservación del Patrimonio Arqueológico","Artes y Humanidades","Gestión y Difusión en Arqueología I",es,
"Grado en Arqueología","Arqueología Urbana e Introducción al Planeamiento","Protección y Conservación del Patrimonio Arqueológico","Artes y Humanidades","Gestión y Difusión en Arqueología I",es,
"Grado en Arqueología","Conservación de los Bienes Arqueológicos","Protección y Conservación del Patrimonio Arqueológico","Artes y Humanidades","Gestión y Difusión en Arqueología I",es,
"Grado en Arqueología","Difusión y Puesta en Valor del Patrimonio Arqueológico","Difusión del Patrimonio Arqueológico","Artes y Humanidades","Gestión y Difusión en Arqueología II",es,
"Grado en Arqueología","Nuevas Tecnologías para la Difusión y Puesta en Valor del Patrimonio Arqueológico","Difusión del Patrimonio Arqueológico","Artes y Humanidades","Gestión y Difusión en Arqueología II",es,"<p>En esta asignatura se hará uso prioritario de Software Libre y de código abierto. Algunos ejemplos de ello:</p>&#13;&#13;<ul>&#13;	<li>QGIS: <a href="https://qgis.org/en/site/">https://qgis.org/en/site/</a></li>&#13;	<li>ImageJ: <a href="https://imagej.net/ij/">https://imagej.net/ij/</a></li>&#13;	<li>Zotero: <a href="https://www.zotero.org">https://www.zotero.org</a></li>&#13;	<li>R y RStudio: <a href="https://www.r-project.org">https://www.r-project.org</a> y <a href="https://posit.co/download/rstudio-desktop/">https://posit.co/download/rstudio-desktop/</a></li>&#13;</ul>&#13;"
"Grado en Arqueología",Bioarqueología,Arqueometría,"Artes y Humanidades","Métodos de Laboratorio en Arqueología",es,
"Grado en Arqueología","Análisis de Artefactos",Arqueometría,"Artes y Humanidades","Métodos de Laboratorio en Arqueología",es,
"Grado en Arqueología","Estadística y Aplicaciones Informáticas en Arqueología",Arqueometría,"Artes y Humanidades","Métodos de Laboratorio en Arqueología",es,
"Grado en Arqueología",Prácticum,Prácticum,"Artes y Humanidades",Prácticum,es,
"Grado en Arqueología","Trabajo de Fin de Grado","Trabajo de Fin de Grado","Artes y Humanidades","Trabajo de Fin de Grado",es,
"Grado en Arqueología","Arqueología de la Arquitectura","Técnicas de Documentación y Análisis en Arqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Arqueología del Género","Técnicas de Documentación y Análisis en Arqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","SIG Aplicado a la Arqueología","Técnicas de Documentación y Análisis en Arqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Epigrafía y Numismática","Técnicas de Documentación y Análisis en Arqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Historia del Egipto Antiguo","Técnicas de Documentación y Análisis en Arqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Tecnología Prehistórica","Tecnología y Arqueología Experimental","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Etnoarqueología y Arqueología Experimental","Tecnología y Arqueología Experimental","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología",Paleogeografía,"Geoarqueología y Bioarqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Antropología Física y Forense","Geoarqueología y Bioarqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Geología y Paleontología del Cuaternario","Geoarqueología y Bioarqueología","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Las Primeras Comunidades Agropecuarias de Andalucía (Vi y V Milenio A. C.)","Prehistoria del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Evolución Humana","Prehistoria del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Agregación y Monumentalización del Paisaje en Andalucía (Iv y III Milenio A.C)","Prehistoria del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","La Consolidación de la Jerarquización Social (Ii Milenio A.C.)","Prehistoria del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Protohistoria de Andalucía","Protohistoria y Arqueología Clásica del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Arqueología Romana y Antigüedad Tardía de Andalucía","Protohistoria y Arqueología Clásica del Sur de la Península Ibérica","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Arqueología de Al-Ándalus y de las Sociedades Islámicas","Arqueología de Al-Andalus","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Arqueología del Mundo Feudal","Arqueología de Al-Andalus","Artes y Humanidades","Materias Optativas",es,
"Grado en Arqueología","Arqueología de los Asentamientos y Paisajes Andalusíes","Arqueología de Al-Andalus","Artes y Humanidades","Materias Optativas",es,"<p>QGIS</p>&#13;"
"Grado en Arqueología","Fuentes para el Conocimiento de Al-Ándalus y Cultura Material Andalusí","Arqueología de Al-Andalus","Artes y Humanidades","Materias Optativas",es,
"Grado en Bellas Artes","Teoría e Historia del Arte",Arte,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Principios Básicos del Dibujo","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Principios Básicos de la Escultura","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Principios Básicos de la Pintura","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes",Fotografía,"Principios de la Imagen Fotográfica y Audiovisual","Artes y Humanidades","Procesos de Creación Artística: Nuevos Medios Artísticos",es,
"Grado en Bellas Artes","Sistemas de Análisis de la Forma y la Representación",Dibujo,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Dibujo I: Lenguajes y Materiales",Dibujo,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Escultura I: Lenguajes y Materiales",Escultura,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Pintura I: Lenguajes y Materiales",Pintura,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes",Audiovisuales,"Principios de la Imagen Fotográfica y Audiovisual","Artes y Humanidades","Procesos de Creación Artística: Nuevos Medios Artísticos",es,"<p>Software de edición de video Da Vinci</p>&#13;&#13;<p>Software de edición de audio Audacity</p>&#13;"
"Grado en Bellas Artes","Historia del Pensamiento",Historia,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Dibujo II: Lenguajes y Procedimientos","Metodología, Lenguajes y Procedimientos del Dibujo","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Escultura II: Lenguajes y Procedimientos","Metodología, Lenguajes y Procedimientos Escultóricos","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Pintura II: Lenguajes y Procedimientos","Metodología, Lenguajes y Procedimientos Pictóricos","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Creación Digital","Arte Digital e Interactivo","Artes y Humanidades","Procesos de Creación Artística: Nuevos Medios Artísticos",es,
"Grado en Bellas Artes","Arte Contemporáneo. Siglos XX-XXI",Arte,"Artes y Humanidades","Formación Básica",es,
"Grado en Bellas Artes","Creación Multimedia Interactiva","Arte Digital e Interactivo","Artes y Humanidades","Procesos de Creación Artística: Nuevos Medios Artísticos",es,
